model,split,population,group,count,observed_bad,expected_bad,average_probability,observed_good,expected_good
application_only,validation,full,0,6151,103,77.45454351276322,0.01259218720740745,6048,6073.545456487237
application_only,validation,full,1,6150,159,134.89537378827666,0.021934207120044985,5991,6015.104626211723
application_only,validation,full,2,6150,168,185.94051310893573,0.030234229773810687,5982,5964.059486891064
application_only,validation,full,3,6150,233,241.95033921050964,0.039341518570814575,5917,5908.04966078949
application_only,validation,full,4,6150,296,305.43798279076435,0.04966471264890477,5854,5844.562017209236
application_only,validation,full,5,6150,382,384.0987537437293,0.06245508190954947,5768,5765.9012462562705
application_only,validation,full,6,6150,504,484.16928461241065,0.07872671294510743,5646,5665.830715387589
application_only,validation,full,7,6150,651,621.52061783774,0.10106026306304716,5499,5528.47938216226
application_only,validation,full,8,6150,916,845.6818760970566,0.13750924814586285,5234,5304.318123902944
application_only,validation,full,9,6151,1553,1468.6458213877877,0.23876537496143516,4598,4682.354178612212
application_only,validation,synthetic_accepted,0,3996,52,46.329738431951455,0.011594028636624489,3944,3949.6702615680488
application_only,validation,synthetic_accepted,1,3995,90,80.0408677319376,0.020035261009245957,3905,3914.9591322680626
application_only,validation,synthetic_accepted,2,3995,115,109.88100341295868,0.02750463164279316,3880,3885.1189965870412
application_only,validation,synthetic_accepted,3,3995,138,142.37755099867832,0.03563893642019482,3857,3852.622449001322
application_only,validation,synthetic_accepted,4,3995,141,179.48933222625797,0.04492849367365656,3854,3815.510667773742
application_only,validation,synthetic_accepted,5,3995,217,225.12346667283455,0.05635130580045921,3778,3769.8765333271654
application_only,validation,synthetic_accepted,6,3995,290,283.5108441406078,0.07096641905897566,3705,3711.489155859392
application_only,validation,synthetic_accepted,7,3995,360,363.615642405345,0.09101768270471715,3635,3631.384357594655
application_only,validation,synthetic_accepted,8,3995,520,493.18483161074425,0.12345052105400357,3475,3501.8151683892556
application_only,validation,synthetic_accepted,9,3995,878,869.5174647931002,0.21765143048638302,3117,3125.4825352068997
application_only,validation,synthetic_rejected,0,2156,54,33.29583226758357,0.015443335931161211,2102,2122.7041677324164
application_only,validation,synthetic_rejected,1,2155,46,57.61043350972254,0.02673337981889677,2109,2097.3895664902775
application_only,validation,synthetic_rejected,2,2155,94,79.58844795632344,0.03693199441128698,2061,2075.4115520436767
application_only,validation,synthetic_rejected,3,2155,103,102.77277500012373,0.047690382830683865,2052,2052.2272249998764
application_only,validation,synthetic_rejected,4,2155,151,129.40930272895457,0.06005072052387683,2004,2025.5906972710454
application_only,validation,synthetic_rejected,5,2155,177,162.3123048411296,0.07531893496108101,1978,1992.6876951588704
application_only,validation,synthetic_rejected,6,2155,219,203.2456700273873,0.09431353597558575,1936,1951.7543299726126
application_only,validation,synthetic_rejected,7,2155,284,259.39410794427573,0.1203684955657892,1871,1895.6058920557243
application_only,validation,synthetic_rejected,8,2155,400,350.1628699239924,0.1624885707303909,1755,1804.8371300760077
application_only,validation,synthetic_rejected,9,2155,636,578.9326194660653,0.26864622713042474,1519,1576.0673805339347
accepted_only,validation,full,0,6151,91,72.05283264796134,0.011714003031695877,6060,6078.947167352038
accepted_only,validation,full,1,6150,143,126.46978333869382,0.020564192412795744,6007,6023.530216661306
accepted_only,validation,full,2,6150,173,175.8930003155712,0.028600487856190435,5977,5974.106999684429
accepted_only,validation,full,3,6150,210,230.83550442705962,0.037534228362123515,5940,5919.164495572941
accepted_only,validation,full,4,6150,265,295.0929530869031,0.04798259399787042,5885,5854.907046913097
accepted_only,validation,full,5,6150,396,374.27798468429756,0.0608582088917557,5754,5775.722015315702
accepted_only,validation,full,6,6150,488,478.0395424208833,0.07773000689770461,5662,5671.960457579116
accepted_only,validation,full,7,6150,650,624.3854733969736,0.10152609323528025,5500,5525.614526603026
accepted_only,validation,full,8,6150,942,864.3297249433185,0.1405414186899705,5208,5285.670275056682
accepted_only,validation,full,9,6151,1607,1550.6719998580193,0.2521007965953535,4544,4600.328000141981
accepted_only,validation,synthetic_accepted,0,3996,45,42.911881930153754,0.010738709191730169,3951,3953.088118069846
accepted_only,validation,synthetic_accepted,1,3995,90,74.72361896913499,0.01870428509865707,3905,3920.276381030865
accepted_only,validation,synthetic_accepted,2,3995,115,102.87805309819424,0.025751702903177534,3880,3892.1219469018056
accepted_only,validation,synthetic_accepted,3,3995,102,134.62355092337035,0.033698010243647145,3893,3860.37644907663
accepted_only,validation,synthetic_accepted,4,3995,153,171.1564170010121,0.0428426575722183,3842,3823.843582998988
accepted_only,validation,synthetic_accepted,5,3995,211,217.07445619422532,0.054336534716952524,3784,3777.925543805775
