loss_given_default,net_margin_rate,optimal_score_cutoff,approval_rate,average_predicted_bad_rate,expected_profit,realized_profit
0.3,0.05,540.5804325007733,0.8099899190270236,0.05619463832121405,880182591.1481464,914751041.42
0.3,0.08,526.3166727297022,0.9199863419075802,0.0691822040171729,1815245120.0557666,1849166980.16
0.3,0.12,513.8136554605868,0.9699847159441969,0.0778771517389396,3134592877.7084503,3174640110.62
0.45,0.05,552.0712258819744,0.6799941465318201,0.045239151167295585,672622140.3080194,715571540.2400001
0.45,0.08,537.4174631355847,0.8399889434489936,0.059259351868429455,1515449400.962884,1568736238.565
0.45,0.12,526.3166727297022,0.9199863419075802,0.0691822040171729,2771375999.7218657,2823201063.7699995
0.6,0.05,560.3976109818348,0.5699977236512633,0.03784863261598753,526227893.63376546,566730377.4800001
0.6,0.08,546.22996798422,0.7499918701830834,0.05074776113546836,1279236317.2960932,1339427536.31
0.6,0.12,533.7897455857612,0.8699879678709636,0.06262581987502461,2458769034.040571,2528496985.8799996
