maximum_observed_bad_rate,feasible,score_cutoff,approval_rate,observed_bad_rate,expected_profit
0.05,True,541.5816781964402,0.7999902442197002,0.04934859047580334,1350282153.1131628
0.08,True,502.60285615049474,0.9899840655588437,0.07722629175836809,1085665884.7030895
0.1,True,466.09151230307464,1.0,0.08072908198107379,1034474347.5544692
0.12,True,466.09151230307464,1.0,0.08072908198107379,1034474347.5544692
