feature,bin,woe,coefficient,exact_points,display_points
__BASE_POINTS__,BASE,,-2.4354291863892414,557.3945083973056,557
EXT_SOURCE_2,N0,-1.1024466471913186,-0.7439643221014636,-23.66542043403116,-24
EXT_SOURCE_2,N1,-0.6134240090242974,-0.7439643221014636,-13.167927096402746,-13
EXT_SOURCE_2,N2,-0.43111896804658684,-0.7439643221014636,-9.254517360909132,-9
EXT_SOURCE_2,N3,-0.346236407505537,-0.7439643221014636,-7.432405163607993,-7
EXT_SOURCE_2,N4,-0.19428315661668535,-0.7439643221014636,-4.1705352329732115,-4
EXT_SOURCE_2,N5,-0.08407198500797268,-0.7439643221014636,-1.8047121618139976,-2
EXT_SOURCE_2,N6,0.005366413878943584,-0.7439643221014636,0.1151969040785523,0
EXT_SOURCE_2,N7,0.04735118438721104,-0.7439643221014636,1.0164534396540414,1
EXT_SOURCE_2,N8,0.08735572188519374,-0.7439643221014636,1.8752017532986753,2
EXT_SOURCE_2,N9,0.22230261606466156,-0.7439643221014636,4.772008592123961,5
EXT_SOURCE_2,N10,0.28159445273299777,-0.7439643221014636,6.044783330599424,6
EXT_SOURCE_2,N11,0.3952930770553091,-0.7439643221014636,8.485469012952912,8
EXT_SOURCE_2,N12,0.5437672113943789,-0.7439643221014636,11.672655278759699,12
EXT_SOURCE_2,N13,0.5720371041178974,-0.7439643221014636,12.279504506911891,12
EXT_SOURCE_2,N14,0.6350322940905568,-0.7439643221014636,13.631776437551572,14
EXT_SOURCE_2,N15,0.8653525242349461,-0.7439643221014636,18.575893320410476,19
EXT_SOURCE_2,N16,1.0534793942910703,-0.7439643221014636,22.61427602687437,23
EXT_SOURCE_2,N17,1.2261374522198716,-0.7439643221014636,26.320600992910848,26
EXT_SOURCE_2,MISSING,-0.0340051351190735,-0.7439643221014636,-0.7299635057706851,-1
EXT_SOURCE_3,N0,-1.1446887079589205,-0.641175859722384,-21.177227204391464,-21
EXT_SOURCE_3,N1,-0.7586423316970615,-0.641175859722384,-14.03520530386375,-14
EXT_SOURCE_3,N2,-0.5036608115646993,-0.641175859722384,-9.317938900150843,-9
EXT_SOURCE_3,N3,-0.2944562658332738,-0.641175859722384,-5.447565962650969,-5
EXT_SOURCE_3,N4,-0.21713191882486313,-0.641175859722384,-4.017032706191968,-4
EXT_SOURCE_3,N5,-0.016007460651183268,-0.641175859722384,-0.2961448198260987,0
EXT_SOURCE_3,N6,0.07210176031000924,-0.641175859722384,1.3339131846982777,1
EXT_SOURCE_3,N7,0.17575068924280435,-0.641175859722384,3.2514623858391682,3
EXT_SOURCE_3,N8,0.3378558824002159,-0.641175859722384,6.250477299358755,6
EXT_SOURCE_3,N9,0.4925658445511652,-0.641175859722384,9.112677298776443,9
EXT_SOURCE_3,N10,0.5901561581422021,-0.641175859722384,10.918139543223925,11
EXT_SOURCE_3,N11,0.6459577624305655,-0.641175859722384,11.950492919445598,12
EXT_SOURCE_3,N12,0.7410548182725099,-0.641175859722384,13.709828836740094,14
EXT_SOURCE_3,N13,0.8517947842963962,-0.641175859722384,15.758565235368561,16
EXT_SOURCE_3,N14,0.8829115379243508,-0.641175859722384,16.334238391625394,16
EXT_SOURCE_3,N15,1.043477069793241,-0.641175859722384,19.30476891746987,19
EXT_SOURCE_3,MISSING,-0.16034702014871485,-0.641175859722384,-2.966487966227349,-3
