segment,applicants,bads,bad_rate,exposure,realized_value
both_approved,45295,2003,0.04422121646980903,28688772501.0,1408247442.0049999
both_declined,10856,2290,0.21094325718496684,5292484798.5,-289837043.19500005
swap_in,2676,304,0.11360239162929746,1309044627.0,5378842.904999995
swap_out,2676,368,0.1375186846038864,1545701814.0,-11723017.890000006
