feature,bin,woe,coefficient,exact_points,display_points
__BASE_POINTS__,BASE,,-2.5837902368036527,561.6753034311845,562
EXT_SOURCE_2,N0,-1.1182160264628527,-0.7307955015264638,-23.579039626582663,-24
EXT_SOURCE_2,N1,-0.6543967182535403,-0.7307955015264638,-13.798806121581253,-14
EXT_SOURCE_2,N2,-0.49384185148192106,-0.7307955015264638,-10.413297886805053,-10
EXT_SOURCE_2,N3,-0.41206729003892345,-0.7307955015264638,-8.688974876688622,-9
EXT_SOURCE_2,N4,-0.28948438458535614,-0.7307955015264638,-6.104154844754195,-6
EXT_SOURCE_2,N5,-0.11830590037495625,-0.7307955015264638,-2.494633815814214,-2
EXT_SOURCE_2,N6,-0.10143779318499292,-0.7307955015264638,-2.1389478316706105,-2
EXT_SOURCE_2,N7,-0.020742976803637375,-0.7307955015264638,-0.43739265083990336,0
EXT_SOURCE_2,N8,-0.014077384892086025,-0.7307955015264638,-0.29683997398885364,0
EXT_SOURCE_2,N9,0.16156938969648252,-0.7307955015264638,3.4069007704592176,3
EXT_SOURCE_2,N10,0.25893307085144396,-0.7307955015264638,5.459940649886362,5
EXT_SOURCE_2,N11,0.35898978946272886,-0.7307955015264638,7.569766727504015,8
EXT_SOURCE_2,N12,0.42927497476168464,-0.7307955015264638,9.051821294874175,9
EXT_SOURCE_2,N13,0.5220469511571968,-0.7307955015264638,11.008039106011799,11
EXT_SOURCE_2,N14,0.6248201504084249,-0.7307955015264638,13.175145711844268,13
EXT_SOURCE_2,N15,0.7839683298661209,-0.7307955015264638,16.53099211461997,17
EXT_SOURCE_2,N16,1.0270801120496305,-0.7307955015264638,21.657320310725943,22
EXT_SOURCE_2,N17,1.1892273370320023,-0.7307955015264638,25.076405489905113,25
EXT_SOURCE_2,MISSING,-0.17734685554966859,-0.7307955015264638,-3.7395891631807,-4
EXT_SOURCE_3,N0,-1.1316081264151336,-0.8321652423231848,-27.17128417004923,-27
EXT_SOURCE_3,N1,-0.7709369223595529,-0.8321652423231848,-18.511130934499846,-19
EXT_SOURCE_3,N2,-0.5034225767617755,-0.8321652423231848,-12.087786903886705,-12
EXT_SOURCE_3,N3,-0.29924177309095723,-0.8321652423231848,-7.185158061706062,-7
EXT_SOURCE_3,N4,-0.2926076217898359,-0.8321652423231848,-7.025864039312535,-7
EXT_SOURCE_3,N5,-0.07252979096409859,-0.8321652423231848,-1.741528286230091,-2
EXT_SOURCE_3,N6,0.0287824632689563,-0.8321652423231848,0.6911018667498646,1
EXT_SOURCE_3,N7,0.20065915022951644,-0.8321652423231848,4.81806967000045,5
EXT_SOURCE_3,N8,0.26538914815328296,-0.8321652423231848,6.372315461328514,6
EXT_SOURCE_3,N9,0.4605815471571165,-0.8321652423231848,11.059121801230269,11
EXT_SOURCE_3,N10,0.4898784130149004,-0.8321652423231848,11.762575098296495,12
EXT_SOURCE_3,N11,0.51863580314392,-0.8321652423231848,12.453074928533583,12
EXT_SOURCE_3,N12,0.6280755610758171,-0.8321652423231848,15.080856306959364,15
EXT_SOURCE_3,N13,0.7563078394945361,-0.8321652423231848,18.159868904479083,18
EXT_SOURCE_3,N14,0.8314975984858801,-0.8321652423231848,19.965266250558095,20
EXT_SOURCE_3,N15,0.9483404397703338,-0.8321652423231848,22.77080464292837,23
EXT_SOURCE_3,MISSING,-0.23112433549064568,-0.8321652423231848,-5.549575733540034,-6
EXT_SOURCE_1,N0,-0.6959038605230267,-0.5282411907317844,-10.606840631467813,-11
EXT_SOURCE_1,N1,-0.2061741536332456,-0.5282411907317844,-3.1424691167426513,-3
EXT_SOURCE_1,N2,0.03323686961104878,-0.5282411907317844,0.5065903482534352,1
EXT_SOURCE_1,N3,0.2776385173321779,-0.5282411907317844,4.23171600784931,4
EXT_SOURCE_1,N4,0.3862134179436233,-0.5282411907317844,5.886594982794948,6
EXT_SOURCE_1,N5,0.6159848580975913,-0.5282411907317844,9.38872966781347,9
EXT_SOURCE_1,N6,0.9552054639618374,-0.5282411907317844,14.559068718106694,15
EXT_SOURCE_1,MISSING,-0.07876183230002469,-0.5282411907317844,-1.2004735861371372,-1
DAYS_EMPLOYED,N0,0.7764429202156579,-0.4528342504093429,10.145030020246654,10
DAYS_EMPLOYED,N1,0.6349588609808485,-0.4528342504093429,8.29639441426441,8
DAYS_EMPLOYED,N2,0.4447049082891234,-0.4528342504093429,5.810529695461845,6
DAYS_EMPLOYED,N3,0.26121228568263694,-0.4528342504093429,3.4130087491448244,3
DAYS_EMPLOYED,N4,0.22273306839855833,-0.4528342504093429,2.910237966723182,3
DAYS_EMPLOYED,N5,0.13394281392733437,-0.4528342504093429,1.7501014342582915,2
DAYS_EMPLOYED,N6,0.09276765976160664,-0.4528342504093429,1.2121054474012423,1
DAYS_EMPLOYED,N7,0.0011558818026197906,-0.4528342504093429,0.015102791566671197,0
DAYS_EMPLOYED,N8,-0.07867989476952877,-0.4528342504093429,-1.0280342233077655,-1
DAYS_EMPLOYED,N9,-0.11586426298902268,-0.4528342504093429,-1.513886463116834,-2
DAYS_EMPLOYED,N10,-0.22727243763056196,-0.4528342504093429,-2.969549521935598,-3
DAYS_EMPLOYED,N11,-0.24269354199527154,-0.4528342504093429,-3.1710422043363624,-3
DAYS_EMPLOYED,N12,-0.33767879165902137,-0.4528342504093429,-4.4121227580127576,-4
DAYS_EMPLOYED,N13,-0.39738847445965875,-0.4528342504093429,-5.192291536348224,-5
DAYS_EMPLOYED,MISSING,0.4509862257790554,-0.4528342504093429,5.892601606793539,6
APP_GOODS_CREDIT_RATIO,N0,-0.5629502895563895,-0.6674835953787649,-10.842144174605608,-11
APP_GOODS_CREDIT_RATIO,N1,-0.3344773068272416,-0.6674835953787649,-6.4418675166015635,-6
APP_GOODS_CREDIT_RATIO,N2,-0.09409482885234174,-0.6674835953787649,-1.8122198699033416,-2
APP_GOODS_CREDIT_RATIO,N3,0.10408996065713731,-0.6674835953787649,2.0047211654567647,2
APP_GOODS_CREDIT_RATIO,N4,0.22542294109664268,-0.6674835953787649,4.341534364533994,4
APP_GOODS_CREDIT_RATIO,MISSING,-0.09355287205837043,-0.6674835953787649,-1.801782050071551,-2
OCCUPATION_TYPE,C0,0.34496185371737914,-0.37011787491652176,3.683966459244613,4
OCCUPATION_TYPE,C1,-0.028618651108116042,-0.37011787491652176,-0.30562843298465153,0
OCCUPATION_TYPE,C2,-0.21777830219205616,-0.37011787491652176,-2.3257295036571555,-2
OCCUPATION_TYPE,C3,-0.3037432836196927,-0.37011787491652176,-3.243779151281264,-3
OCCUPATION_TYPE,C4,-0.345960764186498,-0.37011787491652176,-3.6946341682227692,-4
OCCUPATION_TYPE,MISSING,0.2345725548521819,-0.37011787491652176,2.505081112657585,3
OCCUPATION_TYPE,OTHER,0.0,-0.37011787491652176,0.0,0
NAME_INCOME_TYPE,C0,0.45321823325878363,-0.09068577659925837,1.1859082343468363,1
NAME_INCOME_TYPE,C1,0.12843155393879147,-0.09068577659925837,0.3360589362674783,0
NAME_INCOME_TYPE,C2,-0.19302833723873689,-0.09068577659925837,-0.5050853601977402,-1
NAME_INCOME_TYPE,C3,-0.8157974312934506,-0.09068577659925837,-2.134646888262964,-2
NAME_INCOME_TYPE,MISSING,0.0,-0.09068577659925837,0.0,0
NAME_INCOME_TYPE,OTHER,0.0,-0.09068577659925837,0.0,0
REGION_RATING_CLIENT_W_CITY,N0,0.5373219848545873,-0.26576665959752727,4.120402507523923,4
REGION_RATING_CLIENT_W_CITY,N1,0.008834892220821705,-0.26576665959752727,0.06774953023786845,0
REGION_RATING_CLIENT_W_CITY,N2,-0.3796080017914754,-0.26576665959752727,-2.910987836987604,-3
REGION_RATING_CLIENT_W_CITY,MISSING,0.0,-0.26576665959752727,0.0,0
NAME_EDUCATION_TYPE,C0,0.428331751954432,-0.4779557789649198,5.907075492838546,6
NAME_EDUCATION_TYPE,C1,-0.11075264423509833,-0.4779557789649198,-1.5273773834021418,-2
NAME_EDUCATION_TYPE,C2,-0.33866164878195093,-0.4779557789649198,-4.6704450855116155,-5
NAME_EDUCATION_TYPE,MISSING,0.0,-0.4779557789649198,0.0,0
NAME_EDUCATION_TYPE,OTHER,0.0,-0.4779557789649198,0.0,0
DAYS_LAST_PHONE_CHANGE,N0,0.43209777166819835,-0.19213318370832214,2.395460094833431,2
DAYS_LAST_PHONE_CHANGE,N1,0.38434309027180424,-0.19213318370832214,2.1307180824298393,2
DAYS_LAST_PHONE_CHANGE,N2,0.27380491669923784,-0.19213318370832214,1.5179174592593443,2
DAYS_LAST_PHONE_CHANGE,N3,0.2463718574104812,-0.19213318370832214,1.3658342893977844,1
DAYS_LAST_PHONE_CHANGE,N4,0.2241703911556256,-0.19213318370832214,1.2427539822372655,1
DAYS_LAST_PHONE_CHANGE,N5,0.19112950857988134,-0.19213318370832214,1.0595822074727121,1
DAYS_LAST_PHONE_CHANGE,N6,0.11714848017169473,-0.19213318370832214,0.6494467868655607,1
DAYS_LAST_PHONE_CHANGE,N7,0.0006399230153474052,-0.19213318370832214,0.0035475999820875955,0
DAYS_LAST_PHONE_CHANGE,N8,-0.10230174553624859,-0.19213318370832214,-0.5671395807430023,-1
DAYS_LAST_PHONE_CHANGE,N9,-0.12628999722880058,-0.19213318370832214,-0.7001254544087747,-1
DAYS_LAST_PHONE_CHANGE,N10,-0.18179488575382163,-0.19213318370832214,-1.0078330017459172,-1
DAYS_LAST_PHONE_CHANGE,N11,-0.19480251217627378,-0.19213318370832214,-1.0799445747891863,-1
DAYS_LAST_PHONE_CHANGE,MISSING,-1.4843528826666692,-0.19213318370832214,-8.228943378604953,-8
FLOORSMAX_MEDI,N0,-0.121533148650781,-0.292009815290443,-1.0239924011668498,-1
FLOORSMAX_MEDI,N1,-0.007054655947389293,-0.292009815290443,-0.05943986610377955,0
FLOORSMAX_MEDI,N2,0.1132803040568821,-0.292009815290443,0.954457050145488,1
FLOORSMAX_MEDI,N3,0.29983354282400154,-0.292009815290443,2.5262841691770794,3
FLOORSMAX_MEDI,N4,0.4728377647165537,-0.292009815290443,3.983952390188965,4
FLOORSMAX_MEDI,MISSING,-0.14827132148297437,-0.292009815290443,-1.2492781450582218,-1
