population,feature,bin,expected_share,actual_share,csi_contribution
validation,APP_GOODS_CREDIT_RATIO,N2,0.1573661561141643,0.15950700790218203,2.8928395561339392e-05
validation,APP_GOODS_CREDIT_RATIO,N3,0.2038795486325648,0.202546258658255,8.747813257528316e-06
validation,APP_GOODS_CREDIT_RATIO,N4,0.4328585520254084,0.43156320119670905,3.882213790022732e-06
validation,OCCUPATION_TYPE,C0,0.15836341365592446,0.15901921888719067,2.7101742146180937e-06
validation,OCCUPATION_TYPE,C1,0.184189132060746,0.183847679750252,6.335763709046403e-07
validation,OCCUPATION_TYPE,C2,0.103503409103227,0.10510227309680986,2.450955412788709e-05
validation,OCCUPATION_TYPE,C3,0.17950093763888436,0.1800591850671523,1.7334538614990077e-06
validation,OCCUPATION_TYPE,C4,0.06067553358698362,0.05933140385678515,3.0110930670101956e-05
validation,OCCUPATION_TYPE,MISSING,0.31376757395423455,0.31264023934181,4.057691087070938e-06
validation,BUREAU_ACTIVE_COUNT,MISSING,0.14296554041602982,0.14193034372865923,7.523007228126919e-06
validation,BUREAU_ACTIVE_COUNT,N0,0.14984336552740832,0.15036909368801016,1.8412985397325422e-06
validation,BUREAU_ACTIVE_COUNT,N1,0.2411791486455725,0.2400409742772593,5.383994752474774e-06
validation,BUREAU_ACTIVE_COUNT,N2,0.19056290852330005,0.19161978472244806,5.845320405024538e-06
validation,BUREAU_ACTIVE_COUNT,N3,0.1242181826065277,0.12310168774999188,1.0080623373364785e-05
validation,BUREAU_ACTIVE_COUNT,N4,0.0717700237390654,0.07272934213521512,1.2737845604270133e-05
validation,BUREAU_ACTIVE_COUNT,N5,0.038996021809588846,0.03907190010080973,1.475001960020028e-07
validation,BUREAU_ACTIVE_COUNT,N6,0.040464808732507344,0.04113687359760658,1.1070394206574085e-05
validation,CC_UTILIZATION_MEAN,MISSING,0.7458781828233229,0.7492927059282625,1.5595526090350793e-05
validation,CC_UTILIZATION_MEAN,N0,0.11211559515679707,0.11092322200904035,1.2749056746288125e-05
validation,CC_UTILIZATION_MEAN,N1,0.07597042914593563,0.07433904588468668,3.541381347031656e-05
validation,CC_UTILIZATION_MEAN,N2,0.06603579287394448,0.06544502617801047,5.308875320642503e-06
validation,INST_LATE_RATE,MISSING,0.05833414631502499,0.06126630028291763,0.00014379963054391264
validation,INST_LATE_RATE,N0,0.49289454001495886,0.48912230496569215,2.8980821113702592e-05
